alert_id,company_id,group_id,event,severity,direction,month_detected,month_evident,lead_time_months,trigger_signal,score_before,score_after,status,message
ALERT_00030,COMP_0500,GROUP_0079,regime_deteriorating,watch,down,2025-05,,,C3,67.4355545709,63.5142245435,resolved,"deterioro confirmado dos meses seguidos: el score cae 3,9 puntos desde 2025-02: de 67,4 a 63,5 (sana)."
ALERT_00031,COMP_0604,GROUP_0065,regime_improving,review,up,2025-05,,,L3,70.0167870827,76.646470062,resolved,"mejora confirmada dos meses seguidos: el score sube 6,6 puntos desde 2025-02: de 70,0 a 76,6 (sana)."
ALERT_00032,COMP_0847,GROUP_0037,level_shift_down,review,down,2025-05,,,A1,52.8600027648,32.9425645549,resolved,"escalon a la baja en el nivel del score: el nivel cae 19,9 puntos: mediana de los 3 ultimos meses 32,9 frente a 52,9 de los 6 anteriores (tension)."
ALERT_00033,COMP_0862,GROUP_0132,level_shift_down,review,down,2025-05,,,P1,75.6078752883,64.4311097984,resolved,"escalon a la baja en el nivel del score: el nivel cae 11,2 puntos: mediana de los 3 ultimos meses 64,4 frente a 75,6 de los 6 anteriores (sana)."
ALERT_00034,COMP_0862,GROUP_0132,regime_deteriorating,review,down,2025-05,,,P1,72.9796957798,63.5506682913,resolved,"deterioro confirmado dos meses seguidos: el score cae 9,4 puntos desde 2025-02: de 73,0 a 63,6 (sana)."
ALERT_00035,COMP_0908,GROUP_0022,level_shift_down,review,down,2025-05,2025-08,3,A1,40.4487548294,31.7830329578,open,"escalon a la baja en el nivel del score: el nivel cae 8,7 puntos: mediana de los 3 ultimos meses 31,8 frente a 40,4 de los 6 anteriores (tension)."
ALERT_00036,COMP_1082,GROUP_0142,level_shift_up,watch,up,2025-05,,,L1,71.0890491302,82.3175882206,resolved,"escalon al alza en el nivel del score: el nivel sube 11,2 puntos: mediana de los 3 ultimos meses 82,3 frente a 71,1 de los 6 anteriores (excepcionalmente solida)."
ALERT_00037,COMP_1082,GROUP_0142,regime_improving,review,up,2025-05,,,L1,75.8891496655,84.470538739,resolved,"mejora confirmada dos meses seguidos: el score sube 8,6 puntos desde 2025-02: de 75,9 a 84,5 (excepcionalmente solida)."
ALERT_00038,COMP_1207,GROUP_0132,level_shift_up,watch,up,2025-05,,,L5,32.4411942483,40.6653912713,resolved,"escalon al alza en el nivel del score: el nivel sube 8,2 puntos: mediana de los 3 ultimos meses 40,7 frente a 32,4 de los 6 anteriores (tension)."
ALERT_00039,COMP_1207,GROUP_0132,regime_improving,review,up,2025-05,,,L5,32.6958656858,38.3744655041,resolved,"mejora confirmada dos meses seguidos: el score sube 5,7 puntos desde 2025-02: de 32,7 a 38,4 (tension)."
ALERT_00040,COMP_1252,GROUP_0070,regime_improving,review,up,2025-05,,,A5,42.9943940311,55.53586426,resolved,"mejora confirmada dos meses seguidos: el score sube 12,5 puntos desde 2025-02: de 43,0 a 55,5 (vigilar)."
ALERT_00041,COMP_1282,GROUP_0218,regime_deteriorating,watch,down,2025-05,,,P1,56.3984536495,55.2273647616,resolved,"deterioro confirmado dos meses seguidos: el score cae 1,2 puntos desde 2025-02: de 56,4 a 55,2 (vigilar)."
ALERT_00042,COMP_0042,GROUP_0162,cap_NEGCASH,urgent,down,2025-06,2025-07,1,NEGCASH,72.0725536582,40,resolved,"caja agregada en negativo dos meses seguidos: el techo recorta 32,1 puntos, de 72,1 sin techo a 40,0 (vigilar)."
ALERT_00043,COMP_0052,GROUP_0142,level_shift_down,review,down,2025-06,,,L3,37.7150940745,28.6766036374,resolved,"escalon a la baja en el nivel del score: el nivel cae 9,0 puntos: mediana de los 3 ultimos meses 28,7 frente a 37,7 de los 6 anteriores (tension)."
ALERT_00044,COMP_0113,GROUP_0070,regime_improving,review,up,2025-06,,,L3,65.0009129861,77.4392435914,resolved,"mejora confirmada dos meses seguidos: el score sube 12,4 puntos desde 2025-03: de 65,0 a 77,4 (sana)."
ALERT_00045,COMP_0219,GROUP_0132,level_shift_down,review,down,2025-06,,,P1,70.4704247709,60.8962549124,open,"escalon a la baja en el nivel del score: el nivel cae 9,6 puntos: mediana de los 3 ultimos meses 60,9 frente a 70,5 de los 6 anteriores (vigilar)."
ALERT_00046,COMP_0268,GROUP_0094,regime_improving,review,up,2025-06,,,L2,47.3461443259,61.7801516251,resolved,"mejora confirmada dos meses seguidos: el score sube 14,4 puntos desde 2025-03: de 47,3 a 61,8 (sana)."
ALERT_00047,COMP_0308,GROUP_0250,regime_deteriorating,watch,down,2025-06,,,C6,80.8027904285,77.8054887914,open,"deterioro confirmado dos meses seguidos: el score cae 3,0 puntos desde 2025-04: de 80,8 a 77,8 (sana)."
ALERT_00048,COMP_0363,GROUP_0250,regime_improving,review,up,2025-06,,,P1,63.5331955027,73.6857495289,resolved,"mejora confirmada dos meses seguidos: el score sube 10,2 puntos desde 2025-03: de 63,5 a 73,7 (sana)."
ALERT_00049,COMP_0368,GROUP_0016,level_shift_up,watch,up,2025-06,,,A2,68.4749571477,79.6270677014,resolved,"escalon al alza en el nivel del score: el nivel sube 11,2 puntos: mediana de los 3 ultimos meses 79,6 frente a 68,5 de los 6 anteriores (sana)."
ALERT_00050,COMP_0368,GROUP_0016,regime_improving,review,up,2025-06,,,A2,69.8407251356,79.6270677014,resolved,"mejora confirmada dos meses seguidos: el score sube 9,8 puntos desde 2025-03: de 69,8 a 79,6 (sana)."
ALERT_00051,COMP_0387,GROUP_0097,regime_deteriorating,watch,down,2025-06,2025-07,1,D2,69.3021996751,65.1578520898,resolved,"deterioro confirmado dos meses seguidos: el score cae 4,1 puntos desde 2025-03: de 69,3 a 65,2 (sana)."
ALERT_00052,COMP_0396,GROUP_0096,regime_deteriorating,watch,down,2025-06,,,P1,59.0237515897,55.7584520608,resolved,"deterioro confirmado dos meses seguidos: el score cae 3,3 puntos desde 2025-03: de 59,0 a 55,8 (vigilar)."
ALERT_00053,COMP_0404,GROUP_0094,level_shift_up,watch,up,2025-06,,,P1,57.1883253633,69.1651045574,resolved,"escalon al alza en el nivel del score: el nivel sube 12,0 puntos: mediana de los 3 ultimos meses 69,2 frente a 57,2 de los 6 anteriores (sana)."
ALERT_00054,COMP_0404,GROUP_0094,regime_improving,review,up,2025-06,,,P1,57.3986024435,70.534547603,resolved,"mejora confirmada dos meses seguidos: el score sube 13,1 puntos desde 2025-03: de 57,4 a 70,5 (sana)."
ALERT_00055,COMP_0427,GROUP_0214,regime_deteriorating,watch,down,2025-06,,,A1,59.42193598,57.5233034793,resolved,"deterioro confirmado dos meses seguidos: el score cae 1,9 puntos desde 2025-03: de 59,4 a 57,5 (vigilar)."
ALERT_00056,COMP_0455,GROUP_0222,regime_improving,watch,up,2025-06,,,L5,28.9511713241,32.8486311537,resolved,"mejora confirmada dos meses seguidos: el score sube 3,9 puntos desde 2025-03: de 29,0 a 32,8 (tension)."
ALERT_00057,COMP_0640,GROUP_0022,cap_NEGCASH,urgent,down,2025-06,2025-07,1,NEGCASH,76.3417420906,40,resolved,"caja agregada en negativo dos meses seguidos: el techo recorta 36,3 puntos, de 76,3 sin techo a 40,0 (vigilar)."
ALERT_00058,COMP_0641,GROUP_0132,level_shift_down,review,down,2025-06,,,P1,39.0251292405,21.8374144356,resolved,"escalon a la baja en el nivel del score: el nivel cae 17,2 puntos: mediana de los 3 ultimos meses 21,8 frente a 39,0 de los 6 anteriores (tension)."
ALERT_00059,COMP_0658,GROUP_0132,level_shift_up,watch,up,2025-06,,,C3,51.8135962672,68.4856340922,resolved,"escalon al alza en el nivel del score: el nivel sube 16,7 puntos: mediana de los 3 ultimos meses 68,5 frente a 51,8 de los 6 anteriores (sana)."
ALERT_00060,COMP_0794,GROUP_0035,level_shift_up,watch,up,2025-06,,,P1,51.6924784659,65.5589917959,resolved,"escalon al alza en el nivel del score: el nivel sube 13,9 puntos: mediana de los 3 ultimos meses 65,6 frente a 51,7 de los 6 anteriores (sana)."
ALERT_00061,COMP_0794,GROUP_0035,regime_improving,review,up,2025-06,,,P1,52.2124955581,69.112167696,resolved,"mejora confirmada dos meses seguidos: el score sube 16,9 puntos desde 2025-03: de 52,2 a 69,1 (sana)."
ALERT_00062,COMP_0821,GROUP_0070,regime_improving,review,up,2025-06,,,L3,75.3429204621,81.2045245642,resolved,"mejora confirmada dos meses seguidos: el score sube 5,9 puntos desde 2025-04: de 75,3 a 81,2 (excepcionalmente solida)."
ALERT_00063,COMP_0866,GROUP_0102,regime_improving,watch,up,2025-06,,,D5,42.9772059162,46.5638219739,resolved,"mejora confirmada dos meses seguidos: el score sube 3,6 puntos desde 2025-03: de 43,0 a 46,6 (vigilar)."
ALERT_00064,COMP_1019,GROUP_0118,level_shift_up,watch,up,2025-06,,,P1,52.0293927397,69.217866411,resolved,"escalon al alza en el nivel del score: el nivel sube 17,2 puntos: mediana de los 3 ultimos meses 69,2 frente a 52,0 de los 6 anteriores (sana)."
ALERT_00065,COMP_1061,GROUP_0111,regime_improving,review,up,2025-06,,,A5,42.4731197451,48.2035110821,resolved,"mejora confirmada dos meses seguidos: el score sube 5,7 puntos desde 2025-03: de 42,5 a 48,2 (vigilar)."
ALERT_00066,COMP_1069,GROUP_0155,regime_deteriorating,review,down,2025-06,,,L1,31.3906538568,26.2228317729,resolved,"deterioro confirmado dos meses seguidos: el score cae 5,2 puntos desde 2025-03: de 31,4 a 26,2 (tension)."
ALERT_00067,COMP_1185,GROUP_0126,level_shift_down,review,down,2025-06,2025-11,5,L3,75.3867964774,64.623046269,resolved,"escalon a la baja en el nivel del score: el nivel cae 10,8 puntos: mediana de los 3 ultimos meses 64,6 frente a 75,4 de los 6 anteriores (sana)."
ALERT_00068,COMP_1252,GROUP_0070,level_shift_up,watch,up,2025-06,,,P1,41.3649758844,55.53586426,resolved,"escalon al alza en el nivel del score: el nivel sube 14,2 puntos: mediana de los 3 ultimos meses 55,5 frente a 41,4 de los 6 anteriores (sana)."
ALERT_00069,COMP_0042,GROUP_0162,level_shift_down,review,down,2025-07,,,D2,76.2011031078,40,resolved,"escalon a la baja en el nivel del score: el nivel cae 36,2 puntos: mediana de los 3 ultimos meses 40,0 frente a 76,2 de los 6 anteriores (vigilar)."
ALERT_00070,COMP_0052,GROUP_0142,regime_deteriorating,watch,down,2025-07,,,L3,31.3916926558,27.632829307,resolved,"deterioro confirmado dos meses seguidos: el score cae 3,8 puntos desde 2025-04: de 31,4 a 27,6 (tension)."
ALERT_00071,COMP_0089,GROUP_0153,regime_improving,watch,up,2025-07,,,L3,71.7798019319,75.7743429063,resolved,"mejora confirmada dos meses seguidos: el score sube 4,0 puntos desde 2025-04: de 71,8 a 75,8 (sana)."
ALERT_00072,COMP_0113,GROUP_0070,level_shift_up,watch,up,2025-07,,,A3,65.4181331611,75.032899349,resolved,"escalon al alza en el nivel del score: el nivel sube 9,6 puntos: mediana de los 3 ultimos meses 75,0 frente a 65,4 de los 6 anteriores (sana)."
ALERT_00073,COMP_0161,GROUP_0079,regime_improving,review,up,2025-07,,,P1,53.5490496386,67.8410830656,resolved,"mejora confirmada dos meses seguidos: el score sube 14,3 puntos desde 2025-04: de 53,5 a 67,8 (sana)."
ALERT_00074,COMP_0219,GROUP_0132,regime_deteriorating,watch,down,2025-07,,,P1,62.9446402215,56.4688909867,resolved,"deterioro confirmado dos meses seguidos: el score cae 6,5 puntos desde 2025-05: de 62,9 a 56,5 (vigilar)."
ALERT_00075,COMP_0239,GROUP_0202,regime_improving,watch,up,2025-07,,,P1,70.9983020567,73.0885007626,resolved,"mejora confirmada dos meses seguidos: el score sube 2,1 puntos desde 2025-04: de 71,0 a 73,1 (sana)."
ALERT_00076,COMP_0267,GROUP_0155,level_shift_up,watch,up,2025-07,,,L1,75.3990742727,85.3114252735,resolved,"escalon al alza en el nivel del score: el nivel sube 9,9 puntos: mediana de los 3 ultimos meses 85,3 frente a 75,4 de los 6 anteriores (excepcionalmente solida)."
ALERT_00077,COMP_0267,GROUP_0155,regime_improving,review,up,2025-07,,,L1,77.7901013949,86.3541977773,resolved,"mejora confirmada dos meses seguidos: el score sube 8,6 puntos desde 2025-04: de 77,8 a 86,4 (excepcionalmente solida)."
ALERT_00078,COMP_0269,GROUP_0156,cap_DEBTSTOP,urgent,down,2025-07,2025-08,1,DEBTSTOP,62.6962100459,50,resolved,"dos meses sin amortizar deuda que venia pagando: el techo recorta 12,7 puntos, de 62,7 sin techo a 50,0 (vigilar)."
ALERT_00079,COMP_0307,GROUP_0112,level_shift_down,review,down,2025-07,,,L1,56.0465379319,47.8118382395,resolved,"escalon a la baja en el nivel del score: el nivel cae 8,2 puntos: mediana de los 3 ultimos meses 47,8 frente a 56,0 de los 6 anteriores (vigilar)."
ALERT_00080,COMP_0307,GROUP_0112,regime_deteriorating,review,down,2025-07,,,L1,52.0948636438,44.6554010302,resolved,"deterioro confirmado dos meses seguidos: el score cae 7,4 puntos desde 2025-04: de 52,1 a 44,7 (vigilar)."
ALERT_00081,COMP_0363,GROUP_0250,level_shift_up,watch,up,2025-07,,,P1,63.3526365262,73.6857495289,resolved,"escalon al alza en el nivel del score: el nivel sube 10,3 puntos: mediana de los 3 ultimos meses 73,7 frente a 63,4 de los 6 anteriores (sana)."
ALERT_00082,COMP_0384,GROUP_0094,level_shift_down,review,down,2025-07,2025-12,5,P1,61.1850257339,51.4294553563,open,"escalon a la baja en el nivel del score: el nivel cae 9,8 puntos: mediana de los 3 ultimos meses 51,4 frente a 61,2 de los 6 anteriores (vigilar)."
ALERT_00083,COMP_0424,GROUP_0097,regime_deteriorating,watch,down,2025-07,2025-12,5,L1,66.6912955455,61.8087580257,resolved,"deterioro confirmado dos meses seguidos: el score cae 4,9 puntos desde 2025-04: de 66,7 a 61,8 (sana)."
ALERT_00084,COMP_0454,GROUP_0112,regime_improving,watch,up,2025-07,,,L3,78.6255015663,80.7641503512,resolved,"mejora confirmada dos meses seguidos: el score sube 2,1 puntos desde 2025-06: de 78,6 a 80,8 (excepcionalmente solida)."
ALERT_00085,COMP_0575,GROUP_0079,level_shift_down,review,down,2025-07,,,L3,55.9492246508,46.735689003,resolved,"escalon a la baja en el nivel del score: el nivel cae 9,2 puntos: mediana de los 3 ultimos meses 46,7 frente a 55,9 de los 6 anteriores (vigilar)."
ALERT_00086,COMP_0575,GROUP_0079,regime_deteriorating,review,down,2025-07,,,L3,52.8609359051,46.735689003,resolved,"deterioro confirmado dos meses seguidos: el score cae 6,1 puntos desde 2025-04: de 52,9 a 46,7 (vigilar)."
ALERT_00087,COMP_0615,GROUP_0079,level_shift_up,watch,up,2025-07,,,L1,58.90832856,67.2222929141,resolved,"escalon al alza en el nivel del score: el nivel sube 8,3 puntos: mediana de los 3 ultimos meses 67,2 frente a 58,9 de los 6 anteriores (sana)."
ALERT_00088,COMP_0640,GROUP_0022,level_shift_down,review,down,2025-07,,,D3,75.3584768267,40,resolved,"escalon a la baja en el nivel del score: el nivel cae 35,4 puntos: mediana de los 3 ultimos meses 40,0 frente a 75,4 de los 6 anteriores (vigilar)."
ALERT_00089,COMP_0646,GROUP_0118,regime_improving,watch,up,2025-07,,,L1,71.4267285545,72.8136191346,resolved,"mejora confirmada dos meses seguidos: el score sube 1,4 puntos desde 2025-04: de 71,4 a 72,8 (sana)."
ALERT_00090,COMP_0651,GROUP_0081,regime_deteriorating,watch,down,2025-07,2025-08,1,L4,83.1064522363,80.3100826647,open,"deterioro confirmado dos meses seguidos: el score cae 2,8 puntos desde 2025-05: de 83,1 a 80,3 (excepcionalmente solida)."
ALERT_00091,COMP_0732,GROUP_0022,cap_NEGCASH,urgent,down,2025-07,2025-08,1,NEGCASH,73.3246721539,40,resolved,"caja agregada en negativo dos meses seguidos: el techo recorta 33,3 puntos, de 73,3 sin techo a 40,0 (vigilar)."
ALERT_00092,COMP_0786,GROUP_0017,level_shift_down,review,down,2025-07,2025-09,2,L3,79.6515695979,64.203754701,open,"escalon a la baja en el nivel del score: el nivel cae 15,4 puntos: mediana de los 3 ultimos meses 64,2 frente a 79,7 de los 6 anteriores (sana)."
ALERT_00093,COMP_0811,GROUP_0155,level_shift_down,review,down,2025-07,2025-09,2,L1,71.7983186987,63.7932104216,open,"escalon a la baja en el nivel del score: el nivel cae 8,0 puntos: mediana de los 3 ultimos meses 63,8 frente a 71,8 de los 6 anteriores (sana)."
ALERT_00094,COMP_0811,GROUP_0155,regime_deteriorating,review,down,2025-07,2025-09,2,L1,69.3238786669,62.9731993585,open,"deterioro confirmado dos meses seguidos: el score cae 6,4 puntos desde 2025-04: de 69,3 a 63,0 (sana)."
ALERT_00095,COMP_0829,GROUP_0153,regime_improving,watch,up,2025-07,,,P4,45.7312484818,48.7742704919,resolved,"mejora confirmada dos meses seguidos: el score sube 3,0 puntos desde 2025-04: de 45,7 a 48,8 (vigilar)."
ALERT_00096,COMP_0831,GROUP_0250,regime_improving,review,up,2025-07,,,L1,58.8917272246,64.4809438649,resolved,"mejora confirmada dos meses seguidos: el score sube 5,6 puntos desde 2025-04: de 58,9 a 64,5 (sana)."
ALERT_00097,COMP_0835,GROUP_0250,level_shift_down,review,down,2025-07,,,C1,56.0892279328,38.9388459424,resolved,"escalon a la baja en el nivel del score: el nivel cae 17,2 puntos: mediana de los 3 ultimos meses 38,9 frente a 56,1 de los 6 anteriores (tension)."
ALERT_00098,COMP_0875,GROUP_0141,level_shift_up,watch,up,2025-07,,,P1,81.6926876045,91.5774837466,resolved,"escalon al alza en el nivel del score: el nivel sube 9,9 puntos: mediana de los 3 ultimos meses 91,6 frente a 81,7 de los 6 anteriores (excepcionalmente solida)."
ALERT_00099,COMP_0904,GROUP_0129,regime_deteriorating,watch,down,2025-07,,,C3,74.6205612193,73.3843047661,open,"deterioro confirmado dos meses seguidos: el score cae 1,2 puntos desde 2025-04: de 74,6 a 73,4 (sana)."
ALERT_00100,COMP_0907,GROUP_0022,regime_improving,review,up,2025-07,,,D1,41.3144797253,53.563953703,resolved,"mejora confirmada dos meses seguidos: el score sube 12,2 puntos desde 2025-04: de 41,3 a 53,6 (vigilar)."
ALERT_00101,COMP_0913,GROUP_0108,level_shift_down,review,down,2025-07,,,P3,86.7706362192,77.9585015694,resolved,"escalon a la baja en el nivel del score: el nivel cae 8,8 puntos: mediana de los 3 ultimos meses 78,0 frente a 86,8 de los 6 anteriores (sana)."
ALERT_00102,COMP_0960,GROUP_0137,regime_improving,review,up,2025-07,,,L5,30.5188843199,36.2180913679,resolved,"mejora confirmada dos meses seguidos: el score sube 5,7 puntos desde 2025-04: de 30,5 a 36,2 (tension)."
ALERT_00103,COMP_1004,GROUP_0109,regime_deteriorating,watch,down,2025-07,,,L3,59.8029559409,55.4092558797,resolved,"deterioro confirmado dos meses seguidos: el score cae 4,4 puntos desde 2025-04: de 59,8 a 55,4 (vigilar)."
ALERT_00104,COMP_1037,GROUP_0081,regime_deteriorating,watch,down,2025-07,2025-10,3,A1,75.7238517522,71.2755930865,resolved,"deterioro confirmado dos meses seguidos: el score cae 4,4 puntos desde 2025-04: de 75,7 a 71,3 (sana)."
ALERT_00105,COMP_1149,GROUP_0057,regime_deteriorating,watch,down,2025-07,,,P4,77.126205939,73.7161969012,resolved,"deterioro confirmado dos meses seguidos: el score cae 3,4 puntos desde 2025-04: de 77,1 a 73,7 (sana)."
ALERT_00106,COMP_1185,GROUP_0126,regime_deteriorating,review,down,2025-07,2025-11,4,L3,73.3030273558,62.5069537941,resolved,"deterioro confirmado dos meses seguidos: el score cae 10,8 puntos desde 2025-04: de 73,3 a 62,5 (sana)."
ALERT_00107,COMP_1226,GROUP_0160,regime_improving,watch,up,2025-07,,,C5,31.4695133794,36.4585884795,resolved,"mejora confirmada dos meses seguidos: el score sube 5,0 puntos desde 2025-05: de 31,5 a 36,5 (tension)."
ALERT_00108,COMP_0042,GROUP_0162,regime_deteriorating,watch,down,2025-08,,,D2,73.7093535376,73.5802815545,resolved,"deterioro confirmado dos meses seguidos: el score cae 0,1 puntos desde 2025-05: de 73,7 a 73,6 (sana)."
ALERT_00109,COMP_0051,GROUP_0163,regime_deteriorating,watch,down,2025-08,,,A2,80.02241626,76.6982997846,open,"deterioro confirmado dos meses seguidos: el score cae 3,3 puntos desde 2025-05: de 80,0 a 76,7 (sana)."
ALERT_00110,COMP_0161,GROUP_0079,level_shift_up,watch,up,2025-08,,,P1,52.4634553594,67.8410830656,resolved,"escalon al alza en el nivel del score: el nivel sube 15,4 puntos: mediana de los 3 ultimos meses 67,8 frente a 52,5 de los 6 anteriores (sana)."
