group_id,name,erp,n_companies,countries,currencies,consolidation_currency,op_in_12m_eur,has_intercompany
GROUP_0157,Arga Participaciones,,1,,EUR,EUR,628664.87,False
GROUP_0158,Salazar Participaciones,,21,,EUR,EUR,66307246.06,True
GROUP_0159,Herrera Participaciones,,13,ES,EUR,EUR,334886510.34,True
GROUP_0160,Iranzo Group,Microsoft Business Central,3,ES,EUR,EUR,2094188.29,True
GROUP_0161,Lacalle Group,,2,ES,EUR,EUR,5154798,True
GROUP_0162,Aranda Holding,SAP Business One,8,ES|FR|US,EUR|USD|VND,EUR,184748158.335,True
GROUP_0163,Lacalle Holding,Microsoft Navision,3,,EUR,EUR,42761469.04,True
GROUP_0164,Salazar Group,,2,,GBP,EUR,366424.654762,False
GROUP_0165,Doriga Group,,4,,EUR,EUR,10216789.01,True
GROUP_0166,Fuentes Holding,,1,,EUR,EUR,3562559.89,False
GROUP_0167,Herrera Holding,,1,,EUR,EUR,20251960.4,False
GROUP_0168,Pinilla Holding,,2,,EUR,EUR,3907978.47,True
GROUP_0169,Ebro Holding,,7,AT|DE|FR|NL,EUR,EUR,10311355.92,True
GROUP_0170,Xativa Corporacion,,16,,AUD|COP|EUR|MXN|NZD|PEN|USD,EUR,83184688.7413,True
GROUP_0171,Quintana Corporacion,,1,,EUR,EUR,1746058.03,False
GROUP_0172,Fuentes Participaciones,,21,ES,EUR,EUR,98382625.15,True
GROUP_0173,Duero Participaciones,,3,,CAD|EUR|NZD,EUR,3522637.51,True
GROUP_0174,Ebro Corporacion,,3,,EUR,EUR,7155219.65,True
GROUP_0175,Tudela Corporacion,,6,,DKK|EUR|USD,EUR,14290908.0597,True
GROUP_0176,Aranda Participaciones,,1,ES,EUR,EUR,0,False
GROUP_0177,Yuste Participaciones,,2,ES|IT,EUR,EUR,10643254.96,True
GROUP_0178,Zubiri Participaciones,,2,,EUR,EUR,4875841.3,True
GROUP_0179,Bierzo Participaciones,,7,,EUR|GBP|USD,EUR,291551630.625,False
GROUP_0180,Pinilla Group,Microsoft Business Central,1,,EUR,EUR,30559687.54,False
GROUP_0181,Aranda Group,Oracle Cloud,1,,EUR,EUR,2921424.83,False
GROUP_0182,Pinilla Holding,,5,,EUR,EUR,32315630.87,True
GROUP_0183,Ribera Holding,,3,GB,EUR|GBP|USD,EUR,13684265.0284,False
GROUP_0184,Zubiri Group,,9,ES,EUR,EUR,57005646.79,True
GROUP_0185,Bierzo Group,,11,,EUR,EUR,67785409.29,True
GROUP_0186,Zubiri Holding,,1,,EUR,EUR,1857641.94,False
GROUP_0187,Salazar Holding,,8,,EUR,EUR,391874096.49,True
GROUP_0188,Iranzo Holding,Netsuite,2,GB|NL,GBP,EUR,71367.0357143,False
GROUP_0189,Lacalle Holding,Sage X3,4,,EUR|GBP,EUR,2450161.82095,True
GROUP_0190,Ulzama Corporacion,,1,,EUR,EUR,6247314.19,False
GROUP_0191,Beltran Corporacion,,1,,EUR,EUR,29743.16,False
GROUP_0192,Quintana Participaciones,,4,,CHF|EUR,EUR,30796954.99,True
GROUP_0193,Bierzo Participaciones,,1,,EUR,EUR,482105.84,False
GROUP_0194,Lacalle Corporacion,Netsuite,7,GB|SE,AED|EUR|GBP,EUR,30378070.5752,True
GROUP_0195,Iranzo Corporacion,,6,,EUR,EUR,5574155.78,True
GROUP_0196,Pinilla Participaciones,,2,,EUR,EUR,46575099.69,True
GROUP_0197,Navarro Participaciones,Microsoft Business Central,2,,EUR,EUR,2004683.79,True
GROUP_0198,Bierzo Participaciones,Microsoft Navision,1,ES,EUR,EUR,589651.35,False
GROUP_0199,Herrera Participaciones,,11,ES|PL,AOA|CHF|EUR|GBP|GHS|PLN|SEK|XOF,EUR,2622777379.86,True
GROUP_0200,Ulzama Corporacion,Netsuite,9,DE|ES,EUR,EUR,56749542.86,True
GROUP_0201,Jimena Corporacion,,1,ES,EUR,EUR,1168113.68,False
GROUP_0202,Moncayo Participaciones,Microsoft Business Central,6,,EUR,EUR,24697993.79,True
GROUP_0203,Salazar Participaciones,,5,,EUR,EUR,3074187.43,True
GROUP_0204,Gallardo Corporacion,,1,,EUR,EUR,35014474.51,False
GROUP_0205,Navarro Corporacion,,3,,EUR,EUR,4318235.33,True
GROUP_0206,Tudela Participaciones,,1,,EUR,EUR,44889316.65,False
GROUP_0207,Ribera Participaciones,,1,ES,EUR,EUR,15482976.23,False
GROUP_0208,Salazar Participaciones,Microsoft Business Central,2,,EUR,EUR,130671124.88,True
GROUP_0209,Herrera Participaciones,,1,,GBP,EUR,1666.66666667,False
GROUP_0210,Gallardo Group,,2,DE,EUR,EUR,2501269.46,True
GROUP_0211,Arga Group,Netsuite,15,,AUD|EUR|GBP|USD,EUR,160399709.221,True
GROUP_0212,Pinilla Holding,,11,,EUR|MXN,EUR,33002421.6104,True
GROUP_0213,Ribera Holding,Microsoft Business Central,6,,EUR,EUR,34211252.16,True
GROUP_0214,Herrera Group,Microsoft Navision,3,,EUR,EUR,16741699.08,True
GROUP_0215,Beltran Group,,1,,EUR,EUR,43676.7,False
GROUP_0216,Doriga Holding,,1,,GBP,EUR,31656194.7143,False
GROUP_0217,Fuentes Holding,,22,ES,EUR,EUR,562280865.09,True
GROUP_0218,Valverde Holding,Microsoft Navision,16,ES|US,EUR|USD,EUR,30545506.9331,True
GROUP_0219,Gallardo Holding,Netsuite,1,,EUR,EUR,30573.23,False
GROUP_0220,Beltran Corporacion,Microsoft Navision,6,,EUR,EUR,176117748.08,True
GROUP_0221,Ulzama Corporacion,,1,,EUR,EUR,452278.38,False
GROUP_0222,Beltran Participaciones,,22,,EUR,EUR,20765477.72,True
GROUP_0223,Duero Participaciones,,1,,EUR,EUR,63204099.69,False
GROUP_0224,Navarro Corporacion,,3,,EUR,EUR,16966715.01,True
GROUP_0225,Gallardo Corporacion,,4,,EUR,EUR,39064919.58,True
GROUP_0226,Iranzo Participaciones,,4,,EUR,EUR,6806759.37,True
GROUP_0227,Pinilla Participaciones,,1,,EUR,EUR,0,False
GROUP_0228,Herrera Participaciones,,1,,EUR,EUR,8983879.2,False
GROUP_0229,Xativa Participaciones,,1,,EUR,EUR,29451482.73,False
GROUP_0230,Ribera Group,,7,,EUR|USD,EUR,69333787.8345,True
GROUP_0231,Yuste Group,Netsuite,2,ES,EUR,EUR,26308297.02,True
GROUP_0232,Aranda Holding,,2,,EUR|USD,EUR,33586176.6586,True
GROUP_0233,Yuste Holding,Odoo,1,,EUR,EUR,3284137.55,False
GROUP_0234,Olmedo Group,,6,,EUR,EUR,30111218.41,True
GROUP_0235,Herrera Group,,1,,EUR,EUR,7212757.21,False
GROUP_0236,Jimena Holding,,17,,EUR|GBP,EUR,139530878.28,True
GROUP_0237,Zubiri Holding,,5,BE|NL,DKK|EUR,EUR,7289537.82,True
GROUP_0238,Lacalle Holding,Sage 200,4,ES,EUR,EUR,9010868.57,True
GROUP_0239,Iranzo Holding,,5,,EUR,EUR,45475506.74,True
GROUP_0240,Herrera Corporacion,,1,,EUR,EUR,227057.88,False
GROUP_0241,Fuentes Corporacion,,7,,EUR,EUR,6808544.41,True
GROUP_0242,Zubiri Participaciones,Microsoft Dynamics - AX 2012,1,,EUR,EUR,234159.65,False
GROUP_0243,Xativa Participaciones,,5,,EUR|PLN,EUR,26995137.67,True
GROUP_0244,Cardona Corporacion,Microsoft Business Central,2,,EUR,EUR,2781376.87,True
GROUP_0245,Aranda Corporacion,SAP R3 / S4,1,,EUR,EUR,11200517.53,False
GROUP_0246,Cardona Participaciones,,7,,EUR,EUR,43932675.43,True
GROUP_0247,Ebro Participaciones,,1,,EUR,EUR,323828684.07,False
GROUP_0248,Olmedo Participaciones,,1,ES,EUR,EUR,0,False
GROUP_0249,Doriga Participaciones,Sage 50,1,,EUR,EUR,1003912.29,False
GROUP_0250,Tudela Group,Distrito K,19,,EUR,EUR,22960280.26,True
