company_id,group_id,name,country,currency,erp,created_at,first_activity,last_activity,months_hist,has_invoices,has_debt,has_debt_repayment,has_lineofcredit,branch,n_banking_products,n_debt_products,n_invoices,n_transactions,op_in_12m,cash_quality
COMP_0019,GROUP_0212,Comercial Herrera S.L.U.,,EUR,,2024-07-10,2024-09-02,2026-08-31,24,False,False,False,False,no_invoices_no_debt,3,0,0,7184,2771889.35,ok
COMP_0020,GROUP_0007,Transportes Beltran y Cia. S.L.,,EUR,,2026-04-27,2026-01-01,2026-08-12,8,False,True,False,True,no_invoices,6,2,0,297,14075517.69,ok
COMP_0021,GROUP_0023,Suministros Arga y Cia. S.L.,,EUR,sage200,2026-03-26,2026-02-06,2026-08-31,7,True,False,False,False,no_debt,1,0,88,101,1119233.13,ok
COMP_0022,GROUP_0065,Agricola Moncayo y Cia. S.L.,,EUR,,2024-10-10,2024-09-01,2026-08-31,24,True,False,False,False,no_debt,4,0,1691,7006,1022094.94,ok
COMP_0023,GROUP_0237,Quimica Tudela y Cia. S.L.,BE,EUR,netsuite,2025-05-28,2025-03-31,2026-08-31,18,True,True,False,True,full,3,4,3586,2438,3817530.94,ok
COMP_0024,GROUP_0222,Electro Ribera S.A.,,EUR,businessCentral,2025-01-16,2025-01-03,2026-08-31,20,True,False,True,False,no_debt,2,0,2378,2279,1529622.98,ok
COMP_0025,GROUP_0211,Hermanos Xativa S.A.,,USD,netsuite,2024-12-13,2025-06-09,2026-08-31,15,True,False,False,False,no_debt,5,0,850,889,6235639.66,ok
COMP_0026,GROUP_0236,Distribuciones Yuste S.A.,,EUR,,2026-03-02,2026-01-02,2026-08-31,8,False,False,True,False,no_invoices_no_debt,2,0,0,639,12104663.31,ok
COMP_0027,GROUP_0241,Construcciones Ulzama S.A.,,EUR,businessCentral,2026-05-08,2026-01-07,2026-08-31,8,True,True,True,True,full,7,1,3042,1133,4229594.75,ok
COMP_0028,GROUP_0218,Servicios Gallardo y Cia. S.L.,ES,EUR,businessCentral,2024-02-01,2024-09-07,2026-07-24,17,False,False,False,False,no_invoices_no_debt,4,0,0,38,207.01,ok
COMP_0029,GROUP_0013,Talleres Quintana y Cia. S.L.,,EUR,sageX3,2024-05-23,2024-09-05,2026-08-25,24,True,False,False,False,no_debt,6,0,703,332,318327.74,ok
COMP_0030,GROUP_0126,Industrias Olmedo y Cia. S.L.,,EUR,m3Rosetta,2024-05-21,2024-09-05,2026-08-31,24,False,False,False,False,no_invoices_no_debt,3,0,0,4210,47014089.33,ok
COMP_0031,GROUP_0035,Comercial Ebro y Cia. S.L.,ES,EUR,businessCentral,2025-12-26,2025-11-07,2026-08-31,10,True,False,True,False,no_debt,3,0,467,4919,4608781.15,ok
COMP_0032,GROUP_0094,Logistica Doriga y Cia. S.L.,,EUR,netsuite,2024-11-07,2024-10-01,2026-01-01,14,True,False,False,False,no_debt,1,0,16,31,0,ok
COMP_0033,GROUP_0130,Textil Yuste y Cia. S.L.,FR,EUR,,2025-11-19,2025-10-19,2026-06-17,9,False,False,True,False,no_invoices_no_debt,3,0,0,792,4500210.68,ok
COMP_0034,GROUP_0172,Alimentaria Iranzo S.A.,,EUR,,2025-05-22,2025-03-24,2026-08-31,18,False,True,True,False,no_invoices,11,1,0,5857,13298585.86,ok
COMP_0035,GROUP_0115,Grupo Olmedo S.A.,,EUR,,2022-11-14,2024-09-02,2026-08-31,24,False,False,False,False,no_invoices_no_debt,8,0,0,123,235000,ok
COMP_0036,GROUP_0103,Talleres Yuste S.A.,,EUR,,2025-03-13,2025-01-20,2026-08-31,20,False,False,True,False,no_invoices_no_debt,1,0,0,1166,3763329.45,ok
COMP_0037,GROUP_0222,Servicios Quintana S.A.,,EUR,businessCentral,2025-01-16,2025-01-07,2026-08-31,20,True,False,False,False,no_debt,2,0,440,560,571618.99,low
COMP_0038,GROUP_0104,Construcciones Gallardo y Cia. S.L.,,EUR,,2026-02-27,2026-01-15,2026-08-31,8,True,True,True,False,full,23,2,179,1363,4755121.29,ok
COMP_0039,GROUP_0225,Distribuciones Zubiri y Cia. S.L.,,EUR,businessCentral,2025-09-21,2024-09-05,2026-08-31,24,True,False,False,False,no_debt,2,0,23,416,140000,ok
COMP_0040,GROUP_0178,Suministros Fuentes S.L.,,EUR,,2026-03-09,2026-01-12,2026-07-31,7,False,True,True,True,no_invoices,8,2,0,81,2056259.97,low
COMP_0041,GROUP_0149,Transportes Valverde S.L.,,EUR,m3Rosetta,2026-02-16,2025-12-29,2026-08-31,9,True,True,True,False,full,4,2,59,360,919347.73,ok
COMP_0042,GROUP_0162,Quimica Herrera S.L.,US,USD,businessOne,2022-04-06,2024-09-03,2026-08-31,24,True,True,False,False,full,20,1,1399,3368,9605391.2,ok
COMP_0043,GROUP_0185,Agricola Gallardo S.L.,,EUR,businessCentral,2026-02-27,2025-12-29,2026-08-31,9,True,False,False,False,no_debt,3,0,639,1588,2100083.38,ok
COMP_0044,GROUP_0241,Hermanos Ebro S.L.U.,,EUR,businessCentral,2026-05-08,2026-01-07,2026-08-31,8,True,False,False,False,no_debt,1,0,383,349,735742.69,ok
COMP_0045,GROUP_0242,Electro Xativa S.L.U.,,EUR,,2026-03-12,2026-01-26,2026-08-31,8,False,False,False,False,no_invoices_no_debt,1,0,0,186,234159.65,ok
COMP_0046,GROUP_0062,Construcciones Carrion S.L.U.,,EUR,a3,2025-10-15,2025-08-21,2026-07-10,12,False,True,True,False,no_invoices,1,2,0,123,1842938.48,ok
COMP_0047,GROUP_0018,Distribuciones Zubiri S.L.U.,,EUR,businessCentral,2025-09-02,2025-01-01,2026-07-05,19,True,True,True,True,full,21,25,1006,3282,10663804.06,ok
COMP_0048,GROUP_0241,Talleres Pinilla S.L.,,EUR,businessCentral,2026-05-08,2026-01-02,2026-08-31,8,True,True,False,True,full,1,3,1691,735,886993.3,ok
COMP_0049,GROUP_0180,Servicios Doriga S.L.,,EUR,businessCentral,2025-01-13,2025-01-01,2026-08-31,20,True,True,True,True,full,13,3,1737,2771,30559687.54,ok
COMP_0050,GROUP_0230,Comercial Fuentes S.L.,,USD,r3,2025-10-31,2025-09-08,2026-08-25,12,True,False,False,False,no_debt,2,0,62,142,419788.67,ok
COMP_0051,GROUP_0163,Industrias Ebro S.L.,,EUR,navision,2024-02-13,2024-09-02,2026-08-31,24,True,True,True,True,full,5,4,1520,2246,22391539.43,ok
COMP_0052,GROUP_0142,Textil Ulzama S.L.,,EUR,,2024-09-10,2024-09-03,2026-08-13,24,True,False,False,False,no_debt,2,0,77,404,105108.59,ok
COMP_0053,GROUP_0174,Logistica Gallardo S.L.,,EUR,dynamicsAx,2026-04-24,2026-01-02,2026-08-31,8,True,False,False,False,no_debt,1,0,20,159,288497.02,ok
COMP_0054,GROUP_0217,Grupo Ribera S.L.U.,,EUR,businessCentral,2025-04-04,2025-02-04,2026-08-28,19,True,False,False,False,no_debt,9,0,643,1117,52136124.81,ok
COMP_0055,GROUP_0131,Alimentaria Bierzo S.L.U.,,EUR,r3,2025-11-06,2025-02-01,2026-05-31,13,True,False,True,False,no_debt,3,0,280,551,6399989.59,ok
COMP_0056,GROUP_0234,Servicios Yuste S.L.U.,,EUR,businessOne,2025-10-20,2025-11-24,2026-08-31,10,True,False,False,False,no_debt,2,0,103,234,4728213.75,ok
COMP_0057,GROUP_0122,Talleres Moncayo S.L.U.,,CAD,netsuite,2026-02-24,2026-01-19,2026-08-18,8,True,False,False,False,no_debt,2,0,598,376,681559.31,ok
COMP_0058,GROUP_0104,Distribuciones Tudela S.L.,ES,EUR,libra,2026-02-27,2026-01-12,2026-08-31,8,True,True,True,True,full,23,34,4345,4948,123404498.32,ok
COMP_0059,GROUP_0101,Construcciones Ulzama S.L.,,EUR,,2024-11-04,2024-09-14,2026-08-28,24,True,False,True,False,no_debt,7,0,970,1007,604278.96,ok
COMP_0060,GROUP_0112,Talleres Salazar S.A.,,EUR,businessCentral,2024-06-11,2024-09-02,2026-04-29,19,True,False,False,False,no_debt,1,0,65,119,4934876.93,ok
COMP_0061,GROUP_0022,Servicios Aranda S.A.,,EUR,,2025-11-17,2025-11-27,2026-07-24,9,False,False,True,False,no_invoices_no_debt,3,0,0,2087,2229465.94,ok
COMP_0062,GROUP_0165,Alimentaria Ulzama S.A.,,EUR,,2025-12-18,2025-01-02,2026-04-30,16,False,False,True,False,no_invoices_no_debt,2,0,0,949,5911.26,ok
COMP_0063,GROUP_0011,Grupo Tudela S.A.,,EUR,,2026-01-20,2026-02-26,2026-08-31,7,False,False,False,False,no_invoices_no_debt,1,0,0,843,1808932.83,ok
COMP_0064,GROUP_0174,Logistica Valverde y Cia. S.L.,,EUR,dynamicsAx,2026-04-24,2026-01-02,2026-08-31,8,True,False,True,False,no_debt,1,0,183,403,4358093.92,low
COMP_0065,GROUP_0139,Textil Olmedo y Cia. S.L.,ES,EUR,businessCentral,2024-06-24,2024-09-03,2026-08-31,24,True,True,True,True,full,6,9,943,1136,1270366.24,ok
COMP_0066,GROUP_0115,Industrias Yuste y Cia. S.L.,,EUR,,2022-11-14,2024-11-15,2026-07-06,13,False,False,False,False,no_invoices_no_debt,4,0,0,151,842,ok
COMP_0067,GROUP_0064,Comercial Duero y Cia. S.L.,,EUR,,2026-03-10,2025-03-27,2026-08-18,11,False,False,False,False,no_invoices_no_debt,2,0,0,25,2733.28,ok
COMP_0068,GROUP_0142,Suministros Gallardo S.A.,,EUR,,2024-09-10,2024-09-02,2026-08-31,24,True,False,False,False,no_debt,1,0,898,2755,245749.41,ok
COMP_0069,GROUP_0175,Transportes Quintana S.A.,,DKK,netsuite,2025-09-23,2025-12-30,2026-08-31,9,True,False,True,False,no_debt,1,0,3770,2383,1911208.57,ok
COMP_0070,GROUP_0230,Distribuciones Jimena S.A.,,EUR,r3,2025-10-31,2025-09-21,2026-07-16,11,True,True,False,False,full,7,3,3176,3904,10952705.48,ok
COMP_0071,GROUP_0102,Construcciones Iranzo S.A.,,EUR,,2025-01-20,2024-12-10,2026-08-26,21,True,True,False,True,full,3,4,315,217,3244.06,ok
COMP_0072,GROUP_0003,Electro Doriga S.A.,,GBP,businessOne,2026-03-17,2026-01-20,2026-08-28,8,True,False,False,False,no_debt,2,0,50,66,1114.13,ok
COMP_0073,GROUP_0101,Hermanos Pinilla S.A.,,EUR,,2024-11-04,2024-09-23,2026-08-28,24,True,False,False,False,no_debt,12,0,921,953,371446.19,ok
COMP_0074,GROUP_0088,Agricola Aranda y Cia. S.L.,,EUR,sageX3,2025-02-20,2025-01-17,2026-08-31,20,True,True,True,True,full,10,12,1558,7472,15005915.15,ok
COMP_0075,GROUP_0115,Quimica Salazar y Cia. S.L.,,EUR,,2022-08-18,2024-09-01,2026-08-31,24,False,True,True,True,no_invoices,15,1,0,3433,6990565.72,ok
COMP_0076,GROUP_0146,Transportes Lacalle y Cia. S.L.,ES,EUR,,2024-09-23,2024-09-24,2026-08-31,24,False,True,True,True,no_invoices,1,3,0,119,31406.14,ok
COMP_0077,GROUP_0213,Suministros Quintana y Cia. S.L.,,EUR,businessCentral,2024-01-12,2024-09-01,2026-08-31,24,True,False,False,False,no_debt,2,0,293,295,3841854.27,ok
COMP_0078,GROUP_0246,Comercial Tudela S.A.,,EUR,businessCentral,2026-04-14,2026-01-01,2026-08-31,8,True,True,True,True,full,1,3,1099,318,9511013.71,low
COMP_0079,GROUP_0203,Industrias Herrera S.A.,,EUR,netsuite,2026-02-19,2025-12-29,2026-08-31,9,True,True,True,True,full,4,6,3383,2184,1155363.37,ok
COMP_0080,GROUP_0112,Quimica Jimena y Cia. S.L.,,EUR,,2025-05-19,2025-03-24,2026-05-22,13,False,False,False,False,no_invoices_no_debt,1,0,0,83,19250253.41,ok
COMP_0081,GROUP_0217,Agricola Ebro y Cia. S.L.,,EUR,businessCentral,2025-04-04,2025-02-06,2026-08-31,19,True,False,False,False,no_debt,1,0,1171,1315,11253224.18,ok
COMP_0082,GROUP_0172,Suministros Duero y Cia. S.L.,,EUR,,2025-05-22,2025-03-23,2026-08-31,18,False,True,True,False,no_invoices,10,1,0,7965,21600469.93,ok
COMP_0083,GROUP_0133,Transportes Cardona y Cia. S.L.,,EUR,businessCentral,2026-03-19,2026-01-31,2026-08-25,8,True,False,False,False,no_debt,5,0,6,39,15484945.07,ok
COMP_0084,GROUP_0138,Construcciones Valverde S.A.,,EUR,dynamicsAx,2026-04-08,2026-02-19,2026-08-31,7,False,False,True,False,no_invoices_no_debt,1,0,0,611,656964.03,ok
COMP_0085,GROUP_0155,Distribuciones Jimena S.A.,PT,EUR,etendo,2023-01-13,2024-09-02,2026-08-31,24,True,False,False,False,no_debt,1,0,367,862,351040.86,ok
COMP_0086,GROUP_0168,Hermanos Cardona S.A.,,EUR,,2026-06-17,2025-09-01,2026-08-31,5,False,False,False,False,no_invoices_no_debt,3,0,0,650,497151.92,ok
COMP_0087,GROUP_0065,Electro Quintana S.A.,,EUR,,2024-10-10,2024-09-01,2026-08-31,24,False,True,True,True,no_invoices,23,28,0,3973,58221348.43,ok
COMP_0088,GROUP_0172,Alimentaria Cardona y Cia. S.L.,,EUR,,2025-05-22,2025-03-23,2026-08-31,18,False,True,True,False,no_invoices,3,1,0,1948,1519086.1,ok
COMP_0089,GROUP_0153,Grupo Zubiri y Cia. S.L.,,EUR,sage200,2023-08-02,2024-09-02,2026-08-31,24,True,False,False,False,no_debt,3,0,896,946,414714.3,ok
COMP_0090,GROUP_0116,Textil Fuentes y Cia. S.L.,,EUR,netsuite,2023-08-17,2024-09-02,2026-08-14,20,True,False,False,False,no_debt,3,0,31,111,328364.68,ok
COMP_0091,GROUP_0237,Logistica Iranzo y Cia. S.L.,,EUR,netsuite,2025-06-30,2025-05-02,2026-08-31,16,True,True,False,True,full,1,1,973,925,1668478.72,ok
COMP_0092,GROUP_0159,Comercial Quintana y Cia. S.L.,,EUR,,2024-09-25,2024-09-02,2026-08-31,24,False,False,False,False,no_invoices_no_debt,1,0,0,690,7946877.94,ok
COMP_0093,GROUP_0149,Industrias Yuste y Cia. S.L.,,GBP,m3Rosetta,2026-02-16,2025-12-19,2026-07-20,8,True,False,False,False,no_debt,1,0,15,124,102798.52,ok
COMP_0094,GROUP_0021,Servicios Aranda S.A.,,EUR,a3,2023-11-08,2024-09-02,2026-08-31,24,True,True,True,True,full,12,9,3637,1989,6385100.19,ok
COMP_0095,GROUP_0240,Talleres Jimena S.A.,,EUR,sageX3,2025-10-21,2025-11-19,2026-08-31,10,True,False,False,False,no_debt,1,0,183,196,227057.88,ok
COMP_0096,GROUP_0217,Grupo Pinilla S.A.,,EUR,businessCentral,2025-04-04,2025-02-11,2026-08-25,19,True,False,False,False,no_debt,3,0,37,138,1659311.92,ok
COMP_0097,GROUP_0170,Alimentaria Duero S.A.,,USD,,2025-06-10,2025-10-14,2026-08-28,11,False,False,False,False,no_invoices_no_debt,1,0,0,82,4653130,low
COMP_0098,GROUP_0132,Electro Pinilla y Cia. S.L.,,EUR,netsuite,2024-03-15,2024-09-02,2026-08-31,24,True,False,False,False,no_debt,1,0,458,705,615641.5,ok
COMP_0099,GROUP_0238,Hermanos Duero y Cia. S.L.,ES,EUR,sage200,2023-10-06,2024-09-01,2026-08-31,24,True,True,True,False,full,3,6,1940,2696,900433.55,ok
COMP_0100,GROUP_0129,Distribuciones Tudela y Cia. S.L.,,EUR,businessCentral,2025-04-21,2025-01-01,2026-08-31,20,True,True,True,False,full,11,7,247,703,10056924.74,ok
COMP_0101,GROUP_0108,Construcciones Moncayo y Cia. S.L.,ES,EUR,businessCentral,2024-12-09,2024-10-07,2026-08-31,23,True,True,True,True,full,16,11,1219,5864,11731346.9,ok
COMP_0102,GROUP_0158,Electro Ebro y Cia. S.L.,,EUR,,2023-05-02,2024-09-18,2026-08-21,24,False,False,False,False,no_invoices_no_debt,2,0,0,236,29997.13,ok
COMP_0103,GROUP_0170,Hermanos Salazar y Cia. S.L.,,EUR,,2025-06-10,2025-04-17,2026-08-31,17,False,False,False,False,no_invoices_no_debt,1,0,0,247,72859.11,ok
COMP_0104,GROUP_0173,Agricola Doriga S.A.,,NZD,businessCentral,2026-01-21,2026-02-22,2026-08-31,7,True,False,False,False,no_debt,2,0,303,595,38915.6,ok
COMP_0105,GROUP_0079,Quimica Cardona S.A.,,EUR,dynamicsAx,2024-11-28,2024-10-28,2026-08-31,23,True,True,True,False,full,2,1,2128,2198,1573015.92,ok
COMP_0106,GROUP_0022,Transportes Beltran S.A.,,EUR,netsuite,2024-07-29,2024-09-05,2026-08-11,23,True,False,False,False,no_debt,2,0,2,55,4.15,ok
COMP_0107,GROUP_0094,Suministros Valverde S.A.,,PEN,netsuite,2024-11-07,2024-09-02,2026-08-31,24,True,False,False,False,no_debt,3,0,513,1224,314256.37,ok
COMP_0108,GROUP_0179,Comercial Salazar y Cia. S.L.,,EUR,,2025-10-29,2024-09-01,2026-08-25,24,False,False,False,False,no_invoices_no_debt,1,0,0,365,124882.6,ok
COMP_0109,GROUP_0170,Industrias Valverde y Cia. S.L.,,EUR,,2025-06-10,2025-04-13,2026-08-31,17,False,False,True,False,no_invoices_no_debt,5,0,0,7469,3159889.51,ok
COMP_0110,GROUP_0008,Talleres Carrion y Cia. S.L.,,EUR,businessCentral,2026-04-01,2026-02-26,2026-08-28,7,True,False,False,False,no_debt,3,0,259,211,547504222,ok
COMP_0111,GROUP_0243,Servicios Zubiri y Cia. S.L.,,EUR,,2026-04-22,2026-02-26,2026-08-28,7,False,False,False,False,no_invoices_no_debt,1,0,0,392,551654.14,ok
COMP_0112,GROUP_0222,Alimentaria Valverde y Cia. S.L.,,EUR,businessCentral,2025-01-16,2025-01-07,2026-08-31,20,True,False,True,False,no_debt,2,0,610,785,317104.66,ok
COMP_0113,GROUP_0070,Grupo Beltran y Cia. S.L.,ES,EUR,businessCentral,2023-03-21,2024-09-03,2026-08-31,24,True,False,False,False,no_debt,5,0,89,526,2724677.31,ok
COMP_0114,GROUP_0044,Logistica Duero S.A.,,EUR,businessCentral,2026-06-19,2026-01-06,2026-08-26,8,True,False,False,False,no_debt,1,0,16,105,79931.46,ok
COMP_0115,GROUP_0095,Textil Pinilla S.A.,,EUR,,2025-11-26,2025-01-03,2026-08-31,20,False,False,False,False,no_invoices_no_debt,1,0,0,252,557810.56,ok
COMP_0116,GROUP_0195,Industrias Olmedo S.A.,,EUR,businessCentral,2026-01-09,2025-09-01,2026-08-31,12,True,False,False,False,no_debt,2,0,265,541,265991.02,ok
COMP_0117,GROUP_0101,Comercial Navarro S.A.,,EUR,,2024-11-04,2024-09-14,2026-08-31,24,True,False,False,False,no_debt,6,0,611,992,2577.82,ok
COMP_0118,GROUP_0138,Suministros Jimena y Cia. S.L.,,EUR,dynamicsAx,2026-04-08,2026-02-20,2026-08-31,7,False,False,False,False,no_invoices_no_debt,2,0,0,243,25399.49,ok
COMP_0119,GROUP_0048,Transportes Arga y Cia. S.L.,,EUR,businessCentral,2026-03-10,2026-01-12,2026-08-31,8,True,True,True,False,full,7,1,1396,1319,16889504.34,ok
COMP_0120,GROUP_0210,Comercial Yuste S.L.U.,DE,EUR,netsuite,2026-06-19,2026-01-23,2026-08-31,6,True,False,True,False,no_debt,4,0,3305,571,1434912.74,ok
COMP_0121,GROUP_0158,Industrias Ulzama S.L.U.,,EUR,,2023-05-02,2024-09-04,2026-08-31,24,False,False,False,False,no_invoices_no_debt,2,0,0,463,680817.6,ok
COMP_0122,GROUP_0086,Textil Valverde S.L.U.,,EUR,,2024-10-18,2024-09-02,2026-08-31,24,False,False,False,False,no_invoices_no_debt,1,0,0,8970,4254008.17,ok
COMP_0123,GROUP_0153,Logistica Xativa S.L.U.,,EUR,sage200,2023-08-02,2024-09-02,2026-08-31,24,True,True,True,False,full,4,5,1388,968,2019018.34,ok
COMP_0124,GROUP_0136,Grupo Moncayo S.L.,,EUR,netsuite,2026-05-26,2026-01-02,2026-08-31,8,True,False,True,False,no_debt,7,0,482,377,6925.7,ok
COMP_0125,GROUP_0250,Alimentaria Yuste S.L.,,EUR,distritoK,2022-04-22,2024-09-02,2026-08-17,24,True,False,False,False,no_debt,1,0,146,101,61050.15,ok
COMP_0126,GROUP_0220,Servicios Bierzo S.L.,,EUR,navision,2024-03-21,2024-12-02,2026-08-31,21,True,True,True,True,full,8,2,260,1897,7935033.02,ok
COMP_0127,GROUP_0064,Talleres Aranda S.L.,,EUR,,2026-05-06,2025-02-28,2026-08-21,15,False,False,False,False,no_invoices_no_debt,1,0,0,24,555,ok
COMP_0128,GROUP_0103,Distribuciones Jimena S.L.U.,,EUR,,2025-03-13,2025-01-16,2026-08-27,20,False,True,True,True,no_invoices,1,3,0,992,652369.14,ok
COMP_0129,GROUP_0185,Construcciones Ebro S.L.U.,,EUR,businessCentral,2026-02-27,2025-10-20,2026-08-31,11,True,False,False,False,no_debt,4,0,171,938,2424626.32,ok
COMP_0130,GROUP_0079,Suministros Carrion S.L.U.,,EUR,dynamicsAx,2024-11-28,2024-10-21,2026-08-28,23,True,False,True,False,no_debt,4,0,4259,1647,5482276.69,low
COMP_0131,GROUP_0070,Transportes Doriga S.L.U.,ES,EUR,businessCentral,2025-09-08,2025-11-05,2026-08-17,9,True,False,True,False,no_debt,2,0,18,40,19069065.08,ok
COMP_0132,GROUP_0104,Quimica Arga S.L.U.,ES,EUR,libra,2026-02-27,2026-01-12,2026-08-31,8,True,True,True,False,full,5,1,610,693,8535368.66,ok
COMP_0133,GROUP_0103,Agricola Fuentes S.L.U.,,EUR,,2025-03-13,2025-01-20,2026-08-06,15,False,False,False,False,no_invoices_no_debt,2,0,0,35,32734.66,low
COMP_0134,GROUP_0169,Hermanos Moncayo S.L.,FR,EUR,,2025-09-10,2025-07-21,2026-08-27,14,False,False,False,False,no_invoices_no_debt,1,0,0,115,0,ok
COMP_0135,GROUP_0050,Electro Gallardo S.L.,,EUR,,2024-01-03,2024-09-06,2026-08-27,24,False,False,False,False,no_invoices_no_debt,3,0,0,1229,4667424.69,ok
COMP_0136,GROUP_0142,Construcciones Beltran S.L.,,EUR,,2024-09-10,2024-09-02,2026-08-31,24,True,True,True,False,full,12,2,824,4367,4548816.46,ok
COMP_0137,GROUP_0217,Distribuciones Ribera S.L.,,EUR,businessCentral,2025-04-04,2025-02-11,2026-08-25,19,True,False,False,False,no_debt,5,0,42,145,1519090.71,ok
COMP_0138,GROUP_0035,Talleres Bierzo S.L.U.,ES,EUR,businessCentral,2024-03-06,2024-09-01,2026-08-31,24,True,True,True,True,full,7,5,3211,14852,4348594.08,ok
COMP_0139,GROUP_0217,Servicios Aranda S.L.U.,,EUR,businessCentral,2025-04-04,2025-02-03,2026-08-31,19,True,False,False,False,no_debt,13,0,701,552,89053882.54,ok
COMP_0140,GROUP_0072,Industrias Lacalle S.A.,,EUR,businessCentral,2025-07-21,2025-05-30,2026-08-31,16,True,True,False,False,full,2,3,961,5428,1601519,ok
COMP_0141,GROUP_0220,Comercial Ulzama S.A.,,EUR,navision,2025-09-24,2025-08-25,2026-08-31,13,True,False,True,False,no_debt,3,0,49,862,5601834.19,ok
COMP_0142,GROUP_0217,Logistica Aranda S.A.,,EUR,businessCentral,2025-04-04,2025-02-07,2026-08-31,19,True,False,False,False,no_debt,1,0,2089,2533,25063258.94,ok
COMP_0143,GROUP_0146,Textil Xativa S.A.,ES,EUR,sage200,2024-09-23,2024-09-01,2026-08-03,23,True,True,True,True,full,3,1,51,302,252003.45,low
COMP_0144,GROUP_0236,Alimentaria Herrera y Cia. S.L.,,EUR,,2026-03-02,2026-01-02,2026-08-31,8,False,False,False,False,no_invoices_no_debt,1,0,0,853,2368069.92,ok
COMP_0145,GROUP_0007,Grupo Cardona y Cia. S.L.,,GBP,,2026-04-27,2026-01-02,2026-08-31,8,False,False,False,False,no_invoices_no_debt,5,0,0,2314,228106.69,ok
COMP_0146,GROUP_0020,Talleres Jimena y Cia. S.L.,,EUR,,2025-06-23,2025-07-14,2026-08-27,12,False,False,False,False,no_invoices_no_debt,1,0,0,93,109369.52,ok
COMP_0147,GROUP_0227,Servicios Iranzo y Cia. S.L.,,EUR,,2024-10-13,2024-09-02,2025-04-22,8,True,False,False,False,no_debt,2,0,4,748,0,ok
